County,Name,Address,City,State,Zip,Latitude,Longitude
Cecil,Bohemia Manor High,2755 Augustine Herman Hwy,Chesapeake City,MD,21915,39.51085,-75.830926
Cecil,Elkton High,110 James St,Elkton,MD,21921,39.622863,-75.834649
Cecil,North East High,300 Irishtown Rd,North East,MD,21901,39.586527,-75.933096
Cecil,Perryville High,1696 Perryville Rd,Perryville,MD,21903,39.580898,-76.062348
Cecil,Rising Sun High,100 Tiger Dr,North East,MD,21901,39.692776,-75.972348
Charles,La Plata High School,6035 Radio Station Rd,La Plata,MD,20646,38.546345,-76.948435
Charles,Maurice J. McDonough High School,7165 Marshall Corner Rd,Pomfret,MD,20675,38.555971,-77.03556
Charles,Thomas Stone High School,3785 Leonardtown Rd,Waldorf,MD,20601,38.613754,-76.887041
Charles,Westlake High School,3300 Middletown Rd,Waldorf,MD,20603,38.621683,-76.966859
Charles,North Point High School,2500 Davis Rd,Waldorf,MD,20603,38.641479,-76.977308
Charles,St. Charles High School,5305 Piney Church Rd,Waldorf,MD,20602,38.564609,-76.909262
Charles,Henry E. Lackey High School,3000 Chicamuxen Rd,Indian Head,MD,20640,38.579424,-77.128075
Dorchester,North Dorchester High School,5875 Cloverdale Road,Hurlock,MD,21643,38.582894,-75.876879
Dorchester,Cambridge-South Dorchester High School,2475 Cambridge Beltway,Cambridge,MD,21613,38.546589,-76.072807
Frederick,Frederick High,650 Carroll Pky,Frederick,MD,21701,39.417256,-77.425337
Frederick,Gov. Thomas Johnson High,1501 N Market St,Frederick,MD,21701,39.434155,-77.405741
Frederick,Middletown High,200 Schoolhouse Dr,Middletown,MD,21769,39.444377,-77.53627
Frederick,Urbana High,3471 Campus Dr,Ijamsville,MD,21754,39.326497,-77.339866
Frederick,Linganore High,12013 Old Annapolis Rd,Frederick,MD,21701,39.433068,-77.247084
Frederick,Oakdale High,5850 Eaglehead Drive,Ijamsville,MD,21754,39.394758,-77.310279
Frederick,Catoctin High,14745 Sabillasville Rd,Thurmont,MD,21788,39.63939,-77.407697
Frederick,Tuscarora High,5312 Ballenger Creek Pk,Frederick,MD,21703,39.377939,-77.445787
Frederick,Brunswick High,101 Cummings Dr,Brunswick,MD,21716,39.316577,-77.608396
Frederick,Walkersville High,81 W Frederick Street,Walkersville,MD,21793,39.475301,-77.361381
Garrett,Northern Garrett High School,86 Pride Pkwy,Accident,MD,21520,39.664749,-79.297535
Garrett,Southern Garrett High School,345 Oakland Dr,Oakland,MD,21550,39.404135,-79.389997
Harford,Edgewood High,2415 Willoughby Beach Rd,Edgewood,MD,21040,39.422169,-76.286087
Harford,Joppatowne High,555 Joppa Farm Rd,Joppa,MD,21085,39.410866,-76.349993
Harford,Patterson Mill High School,85 Patterson Mill Rd,Bel Air,MD,21015,39.50761,-76.324228
Harford,Aberdeen High,251 Paradise Rd,Aberdeen,MD,21001,39.516279,-76.171139
Harford,Harford Technical High,200 Thomas Run Rd,Bel Air,MD,21015,39.559056,-76.287306
Harford,Bel Air High,100 Heighe St,Bel Air,MD,21014,39.531344,-76.347702
Harford,Fallston High,2301 Carrs Mill Rd,Fallston,MD,21047,39.52206,-76.413171
Harford,C. Milton Wright High,1301 N Fountain Green Rd,Bel Air,MD,21015,39.561593,-76.330161
Harford,North Harford High,211 Pylesville Rd,Pylesville,MD,21132,39.675405,-76.403915
Harford,Havre de Grace High,700 Congress Ave,Havre de Grace,MD,21078,39.548115,-76.096017
Howard,Howard High,8700 Old Annapolis Rd,Ellicott City,MD,21043,39.226332,-76.812618
Howard,Mount Hebron High,9440 Old Frederick Road,Ellicott City,MD,21042,39.299124,-76.839968
Howard,Centennial High,4300 Centennial Ln,Ellicott City,MD,21042,39.252892,-76.868602
Howard,Marriotts Ridge High,12100 Woodford Dr,Marriottsville,MD,21104,39.321717,-76.933887
Howard,Glenelg High,14025 Burnt Woods Rd,Glenelg,MD,21737,39.274881,-77.003149
Howard,Atholton High,6520 Freetown Rd,Columbia,MD,21044,39.189792,-76.881373
Howard,Wilde Lake High,5460 Trumpeter Rd,Columbia,MD,21044,39.217301,-76.872701
Howard,River Hill High,12101 Clarksville Pike,Clarksville,MD,21029,39.215223,-76.928874
Howard,Reservoir High,11550 Scaggsville Rd,Fulton,MD,20759,39.151871,-76.913249
Howard,Oakland Mills High,9410 Kilimanjaro Rd,Columbia,MD,21045,39.208812,-76.83904
Howard,Hammond High,8800 Guilford Rd,Columbia,MD,21046,39.167666,-76.860485
Howard,Long Reach High,6101 Old Dobbin Ln,Columbia,MD,21045,39.205963,-76.811131
Kent,Kent County High,25301 Lambs Meadow Rd,Worton,MD,21678,39.285038,-76.092484
Montgomery,Seneca Valley High,19401 Crystal Rock Dr,Germantown,MD,20874,39.174225,-77.263768
Montgomery,Quince Orchard High,15800 Quince Orchard Rd,Gaithersburg,MD,20878,39.116009,-77.254017
Montgomery,Poolesville High,17501 Willard Rd,Poolesville,MD,20837,39.142804,-77.418714
Montgomery,Richard Montgomery High,250 Richard Montgomery Dr,Rockville,MD,20852,39.078393,-77.146749
Montgomery,Rockville High,2100 Baltimore Rd,Rockville,MD,20851,39.086914,-77.118318
Montgomery,Thomas S. Wootton High,2100 Wootton Pkwy,Rockville,MD,20850,39.076523,-77.183848
Montgomery,Northwest High,13501 Richter Farm Rd,Germantown,MD,20874,39.151788,-77.279679
Montgomery,Clarksburg High,22500 Wims Rd,Clarksburg,MD,20871,39.225866,-77.26559
Montgomery,Paint Branch High,14121 Old Columbia Pike,Burtonsville,MD,20866,39.087892,-76.948969
Montgomery,James Hubert Blake High,300 Norwood Rd,Silver Spring,MD,20905,39.113694,-77.017814
Montgomery,Bethesda-Chevy Chase High,4301 East-West Hwy,Bethesda,MD,20814,38.995514,-77.048046
